municipality,people_insured,year,pharma_costs,gp_consultation_costs,hospital_costs,mental_healthcare_costs
CAPELLE AAN DEN IJSSEL,66586,2013,17496183.44,2426179.82,82435106.66,
CASTRICUM,34583,2013,8355164.06,1341216.32,38211811.55,
COEVORDEN,35771,2013,9983277.61,1421257.33,48954254.37,
CRANENDONCK,20356,2013,5471768.79,694300.44,28057243.61,
CROMSTRIJEN,12855,2013,3413028.56,437121.38,15239875.64,
CUIJK,25198,2013,6347977.34,861331.86,31300209.01,
CULEMBORG,27996,2013,6413503.38,861721.79,33376905.3,
DALFSEN,27772,2013,6643082.99,840928.96,33120725.37,
DANTUMADIEL,19177,2013,5115325.42,672330.42,24034626.18,
DE BILT,42418,2013,10467439.93,1477056.56,54946787.28,
DE FRYSKE MARREN,51794,2013,12594616.89,1635264.1,62689871.85,
DE MARNE,10265,2013,3266898.74,465815.48,13150347.66,
DE RONDE VENEN,43026,2013,9829907.79,1423877.47,49311159.81,
DE WOLDEN,23896,2013,6041986.63,869448.68,30330281.82,
DELFT,94821,2013,24315275.27,2932794.17,111453816.9,
DELFZIJL,25606,2013,8516856.16,1119543.7,39162572.01,
DEN HELDER,55537,2013,15866034.11,2167882.96,80219397.95,
DEURNE,31769,2013,7513534.24,1045567.91,41522866.09,
DEVENTER,98016,2013,25546600.83,3109997.9,116698580.7,
DIEMEN,25425,2013,6196287.74,753148.27,30290380.9,
DINKELLAND,26042,2013,5736422.11,742751.23,30750684.7,
DOESBURG,11483,2013,3411331.11,418875.99,15912635.9,
DOETINCHEM,56784,2013,15483190.42,1888655.28,75417968.59,
DONGEN,25517,2013,6227005.34,867074.05,28507147.9,
DONGERADEEL,24326,2013,6510604.79,835936.82,32527141.7,
DORDRECHT,119893,2013,32402758.33,4384386.39,140585731.7,
DRECHTERLAND,19333,2013,3559132.37,665169.96,19921061.97,
DRIMMELEN,26847,2013,6598269.71,1000602.89,32661117.52,
DRONTEN,39564,2013,9486788.35,1341233.18,44507558.4,
DRUTEN,18302,2013,4639978.06,558411.16,22138488.66,
DUIVEN,25659,2013,6376121.82,880383.84,31698170.89,
ECHT-SUSTEREN,32115,2013,9501475.44,1335689.86,44721660.49,
EDAM-VOLENDAM,35411,2013,9303344.81,1445159.22,45624677.55,
EDE,109775,2013,26021480.07,3549764.83,118935183.1,
EEMNES,8820,2013,1944489.8,286719.18,10758551.3,
EEMSMOND,16767,2013,4867447.89,639041.75,20446937.67,
EERSEL,18314,2013,4181853.36,642117.58,21211066.42,
EIJSDEN-MARGRATEN,24962,2013,7040727.98,1008303.1,32160099.14,
EINDHOVEN,218905,2013,58331974.13,8023737.52,280927992.4,
ELBURG,22689,2013,5491243.36,701529.68,27154972.06,
EMMEN,108798,2013,31559041.82,4144931.52,154479847.4,
ENKHUIZEN,18482,2013,4431451.82,578006.03,21159639.74,
ENSCHEDE,155489,2013,39836022.08,5074750.84,211569108.2,
EPE,32666,2013,9940124.17,1271578.12,45518853.39,
ERMELO,26238,2013,6692990.8,821465.01,31926764.89,
ETTEN-LEUR,42709,2013,10364010.93,1377500.49,48351225.52,
FERWERDERADIEL,8831,2013,1794547.45,219607.87,9903684.77,
FRANEKERADEEL,20481,2013,5279103.68,688087.07,25943507.47,
GEERTRUIDENBERG,21721,2013,5600145.26,801756.27,24181931.44,
GELDERMALSEN,26312,2013,6597263.86,827286.81,31747061.92,
GELDROP-MIERLO,38960,2013,10778660.17,1488904.05,56240154.11,
GEMERT-BAKEL,29442,2013,7000197.69,1017388.52,39268083.58,
GENNEP,17604,2013,4275712.82,594594.88,21904460.66,
GIESSENLANDEN,14466,2013,3598975.98,485839.01,16536934.12,
GILZE EN RIJEN,25826,2013,6454204.88,915496.11,28854874.25,
GOEREE-OVERFLAKKEE,48561,2013,14250753,1780014.35,62522989.06,
GOES,36999,2013,10866165.87,1220525.09,44177973.31,
GOIRLE,23160,2013,5726896.61,828421.29,28530364.39,
GOOISE MEREN,56777,2013,13795247.37,1982474.17,69664766.9,
GORINCHEM,35536,2013,9365181.2,1184223.21,45176383.44,
GOUDA,71324,2013,18549970.72,2569031.74,90086210.19,
GRAVE,12241,2013,3030233.64,411322.36,14990568.26,
GRONINGEN,189986,2013,40861006.1,5881947.37,191637860.2,
GROOTEGAST,12245,2013,2741118.48,515224.71,12738759.18,
GULPEN-WITTEM,14483,2013,4266201.33,576945.26,20215204.22,
HAAKSBERGEN,24434,2013,5607197.51,726591.8,33374382.48,
HAAREN,13921,2013,2981713.56,477828.8,16086836.55,
HAARLEM,155910,2013,35244637.58,4893844.02,191295984,
HAARLEMMERLIEDE CA,5560,2013,1396281.5,203485.18,6749132.82,
HAARLEMMERMEER,145233,2013,32742277.29,4841733.57,171823393.6,
HALDERBERGE,29444,2013,9204054.26,939805.06,35850513.55,
HARDENBERG,59928,2013,14048597.38,2044733.43,77049829.26,
HARDERWIJK,46081,2013,11524542.31,1501989.64,56905159.96,
HARDINXVELD-GIESSENDAM,17701,2013,4342306.92,528852.41,21506578.49,
HAREN,19081,2013,4609320.95,711659.14,23758144.01,
HARLINGEN,15874,2013,4215029.48,501835.54,20060430.02,
HATTEM,11811,2013,2950481.24,355964.7,14271044.75,
HEEMSKERK,39456,2013,9948848.24,1318186.91,48299333.67,
HEEMSTEDE,26671,2013,7190064.86,916039.32,38059845.77,
HEERDE,18626,2013,5052078.18,668472.8,25534867.27,
HEERENVEEN,50365,2013,12467893.71,1512182.06,66704992.41,
HEERHUGOWAARD,53306,2013,11871699.36,1904672.65,60671332.34,
HEERLEN,88165,2013,30743377.88,4004155.92,128849238.6,
HEEZE-LEENDE,15529,2013,3991736.1,670294.27,20385749.22,
HEILOO,22848,2013,4920559.23,800530.94,27618670.94,
HELLENDOORN,36029,2013,9174807.06,1300027.47,44218170.39,
HELLEVOETSLUIS,39164,2013,10616077.21,1420624.21,51038045.66,
HELMOND,89794,2013,23128121.5,3301035.84,117593749,
HENDRIK-IDO-AMBACHT,28903,2013,7004671.57,996706.5,33643621.18,
HENGELO,81694,2013,19795244.49,2461536.41,101067057,
HET BILDT,10353,2013,2473990.2,304049.39,13273243.83,
HEUMEN,16832,2013,3818561.33,603205.87,20919840.06,
HEUSDEN,43382,2013,10809753.71,1567128.69,54852066.96,
HILLEGOM,22337,2013,5578040.19,794103.47,27531882.66,
HILVARENBEEK,15227,2013,3886634.17,483392.49,18210583.81,
HILVERSUM,87180,2013,22450962.64,2952292.82,109933380.9,
HOF VAN TWENTE,35340,2013,9484276.9,1238142.14,45628099.61,
HOLLANDS KROON,47937,2013,11148836.2,1468815.83,54223376.32,
HOOGEVEEN,55208,2013,15862364.01,2211570.11,73493530.3,
HOOGEZAND-SAPPEMEER,34543,2013,10503244.43,1324454.38,48299727.64,
HOORN,72728,2013,16243753.37,2460095.32,80017407.19,
HORST AAN DE MAAS,42272,2013,11630557.52,1625600.07,52135220.34,
HOUTEN,48636,2013,10111339,1461736.75,49584743.88,
HUIZEN,41562,2013,10048705.03,1534552.8,50908114.93,
HULST,25501,2013,7507759.09,947417.94,31142715.06,
IJSSELSTEIN,34411,2013,8450338.8,1221681.71,37297898.81,
KAAG EN BRAASSEM,25879,2013,5747525.26,902924.07,29683356.76,
KAMPEN,51189,2013,12081363.71,1425810.93,57874364.07,
KAPELLE,12477,2013,2833726.27,345595.77,13084541.29,
KATWIJK,62415,2013,15938838.47,1984531.67,77988482.51,
KERKRADE,44871,2013,15164924.96,2127164.03,63255839.01,
KOGGENLAND,22584,2013,4171452.83,630692.29,22160965.87,
KOLLUMERLAND CA,12963,2013,3415028.27,395580.86,16028771.72,
KORENDIJK,10702,2013,2783506.36,366134.97,11958561.14,
KRIMPEN AAN DEN IJSSEL,29071,2013,7760625.62,1169909.07,35210594.25,
KRIMPENERWAARD,54145,2013,12704253.27,1816732.43,67565461.17,
LAARBEEK,21886,2013,5763776.26,937777.76,28215569.04,
LANDERD,15348,2013,3897642.09,579016.04,18658998.47,
LANDGRAAF,37254,2013,11996309.67,1537782.38,52305662.03,
LANDSMEER,10530,2013,2556117.87,370861.91,13966483.5,
LANGEDIJK,27090,2013,5395985.82,839368.23,30564623,
LANSINGERLAND,57273,2013,11278650.31,1894876.1,56464326.77,
LAREN,11107,2013,2920685.81,423438.15,15822265.59,
LEEK,19681,2013,4589835.92,724118.35,22813988.52,
LEERDAM,21004,2013,6112338.62,715241.29,29182853.16,
LEEUWARDEN,106184,2013,25983502.5,3367668.45,126120346.7,
LEEUWARDERADEEL,10289,2013,2352044.44,358561.7,11394400.44,
LEIDEN,118824,2013,27039141.77,3876631.63,128305041.3,
LEIDERDORP,26919,2013,6890751.67,897689.86,35701964.79,
LEIDSCHENDAM-VOORBURG,73143,2013,20161391.87,2595309.51,103658688,
LELYSTAD,76573,2013,20720795.79,2686152.26,99266960.78,
LEUDAL,36071,2013,9223726.95,1616108.44,44807647.24,
LEUSDEN,29196,2013,6697774.14,961294.29,33843106.22,
LINGEWAAL,11114,2013,2363584.94,307108.81,12229493.07,
LINGEWAARD,45959,2013,10571958.8,1585428.03,58563926.61,
LISSE,22295,2013,5148555.71,749609.38,26918721.66,
LITTENSERADIEL,10998,2013,2380888.12,396985.04,10776236.97,
LOCHEM,33649,2013,8144734.49,1024848.62,43615155.86,
LOON OP ZAND,23271,2013,6419347.93,947625.16,30277652.6,
LOPIK,14064,2013,2892222.68,492498.79,15913918.73,
LOPPERSUM,10270,2013,2973227.38,387996.82,13008178.86,
LOSSER,22665,2013,5684129.06,610287.04,32218972.5,
MAASDRIEL,24676,2013,5450172.25,788729.84,29774072.96,
MAASGOUW,23900,2013,7242591.13,1036084.26,33327379.79,
MAASSLUIS,32294,2013,8935540.68,1082201.83,43138585.36,
MAASTRICHT,114134,2013,37018355.29,5117156.27,152265830.6,
MARUM,10427,2013,2605216.35,342776.15,10516723.06,
MEDEMBLIK,43511,2013,9754497.23,1591354.82,46778531.92,
MEERSSEN,19288,2013,6520439.09,880236.23,27752801.31,
MEIERIJSTAD,79397,2013,19765713.96,2939633.36,100633664.4,
MENAMERADIEL,13764,2013,3122946.89,462444.76,17633493.03,
MENTERWOLDE,12367,2013,4018146.97,477555.82,18083901.17,
MEPPEL,33043,2013,8801686.88,1198001.96,45948200.34,
MIDDELBURG,47769,2013,11541931.6,1579832.89,51601332.17,
MIDDEN-DELFLAND,19393,2013,3704464.03,581552.82,19387555.76,
MIDDEN-DRENTHE,33669,2013,8585201.59,1138055.14,41334455.77,
MILL EN SINT HUBERT,10947,2013,2975191.73,358206.88,13678765.84,
MOERDIJK,37634,2013,9964190.81,1379723.35,44523833.42,
MOLENWAARD,29020,2013,6103710.91,994191.93,29829352.27,
MONTFERLAND,34934,2013,10151147.12,1216442.81,46882170.98,
MONTFOORT,13681,2013,2703449.41,428825.77,15019814.24,
MOOK EN MIDDELAAR,7911,2013,1820035.61,327945.21,9697778.3,
NEDER-BETUWE,21390,2013,6110460.1,948596.28,25983951.44,
NEDERWEERT,16900,2013,4356984.35,669107.83,21642446.62,
NEERIJNEN,11876,2013,2489460,409673.55,15350778.47,
NIEUWEGEIN,61785,2013,16295990,2086144.53,77930290.97,
NIEUWKOOP,27203,2013,6066831.98,949640.11,33299615.08,
NIJKERK,40896,2013,9097804.27,1332400.17,50575291.87,
NIJMEGEN,166810,2013,40023436.8,5940765.61,197772014.2,
NISSEWAARD,85697,2013,25755804.43,3178269.25,116083613.8,
NOORD BEVELAND,7527,2013,2255492.97,271157.43,9793799.09,
NOORDENVELD,31404,2013,7592028.47,1111000.15,38424736.53,
NOORDOOSTPOLDER,45992,2013,10391021.82,1401986.99,52735137.97,
NOORDWIJK,25704,2013,6002743.69,866019.47,30158227.97,
NOORDWIJKERHOUT,16184,2013,3984459.28,516554.31,18877568.66,
NUENEN CA,22847,2013,5506992.11,765327.78,31697169.26,
NUNSPEET,26636,2013,6589673.57,868019.87,31901065.58,
NUTH,15499,2013,4821103.85,636014.56,21448449.46,
OEGSTGEEST,22666,2013,5227131.69,781851.88,24941848.52,
OIRSCHOT,18117,2013,4456446.41,711371.31,20405723.56,
OISTERWIJK,25846,2013,7751912.37,1072732,32210402.39,
OLDAMBT,38862,2013,13153420.23,1551794.9,56822768.6,
OLDEBROEK,22904,2013,5364289.56,714527.38,27428658.08,
OLDENZAAL,32292,2013,8064162.87,1056448.69,43034312.92,
OLST-WIJHE,17901,2013,4177884.79,577360.09,22523141.12,
OMMEN,17406,2013,3975078.81,478518.81,21751577.89,
ONDERBANKEN,7815,2013,2188139.92,319522.49,11285451.02,
OOST GELRE,29853,2013,7351666.36,1071840.4,35914396.82,
OOSTERHOUT,54085,2013,14110251.21,1685831.95,65737654.22,
OOSTSTELLINGWERF,25934,2013,6804237.31,918805.45,31791915.49,
OOSTZAAN,9185,2013,2157405.46,285401.16,10772139.78,
OPMEER,11583,2013,2527735.36,417786.43,11635094.69,
OPSTERLAND,30053,2013,6912279.65,916205.85,32721427.99,
OSS,90286,2013,24680094.81,3302279.57,116271324.9,
OUD-BEIJERLAND,23857,2013,5868529.32,796415.73,26902088.08,
OUDE IJSSELSTREEK,39804,2013,10587448.84,1367405.14,51975331.5,
OUDER-AMSTEL,13305,2013,3081774.99,437476.03,16568204.22,
OUDEWATER,10081,2013,2451200.66,291848.99,11892597.34,
OVERBETUWE,46678,2013,11391987.44,1589461.88,58139276.46,
PAPENDRECHT,32330,2013,8464967.57,1066274.11,39971083.28,
PEEL EN MAAS,43392,2013,11194790.81,1928677.15,53671929.84,
PEKELA,12561,2013,4256984.12,528488.28,19200593.61,
PIJNACKER-NOOTDORP,51071,2013,10599407.03,1561282.25,53615474.72,
PURMEREND,80323,2013,22237518.61,3050991.12,112201677.7,
PUTTEN,24064,2013,5864249.06,894163.58,29134633.88,
RAALTE,36894,2013,8787437.36,1145508.6,42687583.31,
REIMERSWAAL,21433,2013,5314906.54,669907.31,22306440.18,
RENKUM,31833,2013,9237021.12,1109670.67,43970092.61,
RENSWOUDE,4800,2013,1005474,147075.02,4839984.57,
REUSEL-DE MIERDEN,12666,2013,2998331.23,411013.84,14654839.13,
RHEDEN,44020,2013,12031291.94,1557028.67,63843314.86,
RHENEN,18994,2013,4275708.15,592952.47,22480202.01,
RIDDERKERK,45718,2013,12355577.87,1840145.06,61499937.95,
RIJNWAARDEN,11023,2013,2622554.11,374814.18,15227498.76,
RIJSSEN-HOLTEN,37798,2013,9572444.64,1366298.7,41475223.81,
RIJSWIJK,48239,2013,14697120.98,1698497.02,68072196.72,
ROERDALEN,20726,2013,6211294.93,834434.49,28080723.12,
ROERMOND,56943,2013,16748428.46,2188792.63,76791749.88,
ROOSENDAAL,77422,2013,22521786.37,2517007.09,93418050.97,
ROTTERDAM,620736,2013,174874382.1,22674851.51,746263919.8,
ROZENDAAL,1470,2013,290230.17,41355.39,1765410.3,
RUCPHEN,22286,2013,7514343.16,851465.66,29151177.52,
S GRAVENHAGE,506310,2013,144309873.2,18506590.84,600003658.9,
S HERTOGENBOSCH,154396,2013,38273199.15,5601483.98,187389141.4,
SCHAGEN,47047,2013,10313880.3,1595162.6,54622521.1,
SCHERPENZEEL,9482,2013,2138534.17,294414.35,11471646.3,
SCHIEDAM,77269,2013,20948857.42,2719920.29,98870053.16,
SCHIERMONNIKOOG,929,2013,216904.58,47887.97,1017654.12,
SCHINNEN,13026,2013,3537891.36,546626.37,18275445.84,
SCHOUWEN-DUIVELAND,34016,2013,9772791.84,1163305.47,41262043.75,
SIMPELVELD,10548,2013,2827264.42,418205.83,14524373.6,
SINT ANTHONIS,11751,2013,2594781.83,388074.68,12945557.66,
SINT-MICHIELSGESTEL,28397,2013,6795904.49,1014297.7,35432957.18,
SITTARD-GELEEN,93725,2013,30651269.24,4462467.79,131323857,
SLIEDRECHT,24936,2013,6984779.62,747485.75,29171453.09,
SLOCHTEREN,15451,2013,3733548.76,583092.48,17289764.49,
SLUIS,22983,2013,6862147.11,826059.92,25595740.26,
SMALLINGERLAND,55565,2013,14402594.62,1765186.59,64249889.32,
SOEST,45929,2013,11376512.74,1518178.13,61970687.51,
SOMEREN,18616,2013,4378725.83,611223.13,22684635.85,
SON EN BREUGEL,16317,2013,4532213.77,566717.43,21339681.52,
STADSKANAAL,32740,2013,10575181.11,1298220.79,48364624.03,
STAPHORST,16165,2013,2894435.77,381636.26,17331157.2,
STEDE BROEC,21642,2013,4912388.86,756713.96,23258845.3,
STEENBERGEN,23638,2013,6844598.38,956077.54,28102424.22,
STEENWIJKERLAND,43435,2013,10789202.82,1501126.83,59473297.02,
STEIN,25428,2013,7502913.11,1158561.17,34144629.6,
STICHTSE VECHT,64133,2013,15941523.84,2237953.06,77326632.58,
STRIJEN,8758,2013,2494677.29,288747.93,10119916.51,
SUDWEST-FRYSLAN,84821,2013,19919195.38,2683656.36,99982246.35,
TEN BOER,7519,2013,1636259.78,265586.35,8955930.44,
TERNEUZEN,53048,2013,15755184.11,2039530.7,69632516.26,
TERSCHELLING,4752,2013,1029091.08,215466.88,4804951.12,
TEXEL,13584,2013,3539501.26,549797.15,15174487.29,
TEYLINGEN,35818,2013,8032008.43,1220033.2,38691854.13,
THOLEN,25281,2013,7217664.89,893837.87,28861166.64,
TIEL,41982,2013,10479687.76,1462082.39,56743864.99,
TILBURG,209010,2013,56251641.91,7238627.56,243748674.4,
TUBBERGEN,21347,2013,4949953.11,640147.73,23552817.09,
TWENTERAND,33964,2013,8836397.64,1209178.69,42010284.23,
TYNAARLO,32988,2013,8076734.41,1239305.63,43381030.75,
TYTSJERKSTERADIEL,31851,2013,7308545.74,954690.73,36666030.62,
UDEN,41642,2013,10890438.46,1521726.46,55239721.35,
UITGEEST,13357,2013,2867490.58,402006.93,14296474.87,
UITHOORN,28570,2013,6742830.32,881022.11,31550635.44,
URK,18781,2013,3356823.48,498407.71,16863748.09,
UTRECHT,323979,2013,70322660.94,9962843.58,326941860.5,
UTRECHTSE HEUVELRUG,48029,2013,12320237.36,1915778.48,61324572.44,
VAALS,7880,2013,2644851.22,359191.07,9661328.87,
VALKENBURG AAN DE GEUL,16775,2013,5098747.71,780898.74,22468475.16,
VALKENSWAARD,30560,2013,8880789.69,1053578.94,40673057.46,
VEENDAM,27982,2013,8478156.53,1007665.85,38876398.69,
VEENENDAAL,63244,2013,16628536.78,2081965.18,69565554.6,
VEERE,21908,2013,5066139.67,754809.63,23199684.18,
VELDHOVEN,44309,2013,10898570.19,1382027.8,55214220.99,
VELSEN,67775,2013,17562434.06,2451933.74,93611081.69,
VENLO,100094,2013,31057209.91,3803500.63,144468016.4,
VENRAY,43442,2013,11477069.23,1542200.91,55307068.37,
VIANEN,19747,2013,4961555.5,622099.54,23526858.33,
VLAARDINGEN,71461,2013,19916418.74,2480610.03,97406789,
VLAGTWEDDE,15883,2013,5132637.7,604105.2,23215829.3,
VLIELAND,1080,2013,256059,46263.55,1138117.18,
VLISSINGEN,44306,2013,12620218.47,1434966.78,51141887.3,
VOERENDAAL,12507,2013,3671675.02,509274.49,15528495.91,
VOORSCHOTEN,24991,2013,6278182.52,879402.99,31464589.39,
VOORST,24000,2013,6412360.74,877690.82,30154289.07,
VUGHT,26021,2013,6327884.29,826987.63,34490687.71,
WAALRE,16864,2013,4312615.11,591058.72,22048897.02,
WAALWIJK,48030,2013,12820069.68,1998469.31,58171639.86,
WADDINXVEEN,25759,2013,6225184.22,930831.55,30776273.39,
WAGENINGEN,34995,2013,7778993.26,1023428.95,36462091.87,
WASSENAAR,25029,2013,6465472.06,893627.21,36199493.05,
WATERLAND,17266,2013,4615325.53,610180.71,22511073.63,
WEERT,48888,2013,13984894.33,1813828.58,69969810.62,
WEESP,18299,2013,4071469.56,663533.23,21151234.02,
WERKENDAM,26236,2013,6554689.89,929289.78,30871460.51,
WEST MAAS EN WAAL,18533,2013,4376931.51,593640.82,24289770.67,
WESTERVELD,19128,2013,4939461.07,648313.24,27349967.12,
WESTERVOORT,15204,2013,3922348.3,545911.64,19422531.84,
WESTLAND,102232,2013,24026026.7,3419008.17,119642676.9,
WESTSTELLINGWERF,25709,2013,6658171.56,881243.12,34623168.25,
WESTVOORNE,14128,2013,3942194.63,557188.78,18220210.03,
WIERDEN,24040,2013,5527831.35,781352.2,29178596.27,
WIJCHEN,41330,2013,9891098.18,1591426,51654318.08,
WIJDEMEREN,23485,2013,5817046.22,902824.14,31062201.33,
WIJK BIJ DUURSTEDE,23185,2013,5201723.16,717316.08,25990545.58,
WINSUM,13959,2013,3595568.43,491375.89,16428393.38,
WINTERSWIJK,28705,2013,7768593.95,989760.3,35609086.3,
WOENSDRECHT,20780,2013,5591152.53,715440.2,25191720.79,
WOERDEN,50902,2013,12854255.37,1781657.62,64217076.98,
WORMERLAND,15837,2013,3569306.51,567462.04,20520957.54,
WOUDENBERG,12427,2013,2617226.99,388752.52,15922495.75,
WOUDRICHEM,14523,2013,3669022.06,525786.17,16393558.67,
ZAANSTAD,152054,2013,37769587.68,5265547.7,194478740.3,
ZALTBOMMEL,26945,2013,6133960.74,1067280.94,32187072.66,
ZANDVOORT,16760,2013,6155188.41,642102.29,25768609.68,
ZEDERIK,13677,2013,3469403.02,495010.9,15123956.04,
ZEEWOLDE,21963,2013,4208968.52,529311.29,21194090.25,
ZEIST,61482,2013,15068874.87,1828292.97,74189044.68,
ZEVENAAR,32476,2013,8540880.35,1190275.22,45287460.61,
ZOETERMEER,124269,2013,31585602.06,4426632.81,159376683.9,
ZOETERWOUDE,8156,2013,1781759.13,299876.78,9974517.14,
ZUIDHORN,18873,2013,4146936.39,659072.77,22909012.51,
ZUIDPLAS,41176,2013,9256073.84,1499215.77,49308345.21,
ZUNDERT,21180,2013,5527513.96,676892.31,23517418.66,
ZUTPHEN,47636,2013,12336004.03,1498962.97,63498768.79,
ZWARTEWATERLAND,22203,2013,4721225.14,666020.94,22995984.09,
ZWIJNDRECHT,45188,2013,13498400.6,1553538.54,56635141.22,
ZWOLLE,124414,2013,28142018,3787891.42,141333235.9,
AA EN HUNZE,25415,2014,6334644.92,963306.43,33233619.42,3638633.25
AALBURG,12871,2014,3135751.33,472593.52,15006529.81,1491032.16
AALSMEER,31365,2014,7185642.63,1122816.07,33510984.05,3851730.24
AALTEN,26857,2014,6867405,1104820.61,33263147.32,3579121.57
ACHTKARSPELEN,28157,2014,7100093.03,986258.1,33608483.6,3856347.75
ALBLASSERDAM,19617,2014,5735912.21,803879.23,24340911.33,2671474.34
ALBRANDSWAARD,25337,2014,5471409.01,964677.02,29956254.01,6954527.1
ALKMAAR,107247,2014,24292284.07,3740611.38,123796342.3,24159059.96
ALMELO,72426,2014,21768498.5,2948275.57,95054204.26,16454022.67
ALMERE,196873,2014,44702137.28,7401379.21,231655748.1,32186105.62
ALPHEN AAN DEN RIJN,107798,2014,25509724.14,3971910.36,127652526.9,17538170.07
ALPHEN-CHAAM,9810,2014,2262565.27,390528.81,11089555.36,816908.47
AMELAND,3568,2014,836714.29,201089.53,3828047.72,213719.57
AMERSFOORT,152850,2014,34737345.86,5327560.32,173364594.6,32502428.8
AMSTELVEEN,84192,2014,20692913.71,2666655.25,102029185.7,15413699.1
AMSTERDAM,816193,2014,229024201,28608510,891273846.5,219276711.9
APELDOORN,158696,2014,40741413,5439340.3,215549158.6,36664671.01
APPINGEDAM,12122,2014,4084494.86,525980.69,17882629.16,1984596.33
ARNHEM,151466,2014,39184472.58,5605939.69,181054982.2,36450906.58
ASSEN,67252,2014,16127267.65,2524279.99,80559091.84,24471562.54
ASTEN,16550,2014,3675951.35,619434.43,20297521.52,1755280.17
BAARLE-NASSAU,6570,2014,2044559.31,268319.58,8703991.11,663511.65
BAARN,24667,2014,6080260.71,869042.78,30724520.52,4259645.13
BARENDRECHT,47751,2014,10925580.41,1650408.33,55875988.05,7045984.37
BARNEVELD,54072,2014,11066189.15,1868664.6,57243889.11,7670623.9
BEDUM,10518,2014,2634453.86,317849.68,13697433.69,2083452.79
BEEK,16298,2014,4596768.04,762253.85,22030333.85,3083191.82
BEEMSTER,8948,2014,1830468.59,290467.16,10746116.55,903885.58
BEESEL,13487,2014,3723347.45,556786.78,18481420.05,2969066.38
BELLINGWEDDE,8970,2014,2964092.15,379939.42,14632001.94,1568684.67
BERG EN DAL,34691,2014,9371555.77,1400666.09,49298593.75,5200494.5
BERGEIJK,18288,2014,4388639.74,685217.08,23371079.35,2193310.49
BERGEN LB,13111,2014,3762304.83,640159.92,18800787.48,1918541.68
BERGEN NH,30208,2014,7171275.34,1085804.87,40391161.82,3899397.53
BERGEN OP ZOOM,66787,2014,20143104.63,2507834.33,84749028.56,16011120.05
BERKELLAND,44611,2014,11517253.75,1531472.53,56378492.9,6037975.54
BERNHEZE,29917,2014,7800900.59,1197238.24,36277453.59,3294482.87
BEST,28826,2014,7393922.13,1034009.63,37314610.62,4311857.24
BEUNINGEN,25384,2014,6055452.07,987708.02,31763079.21,3595810.98
BEVERWIJK,40455,2014,10596791.11,1456846.07,50561403.51,7040114.95
BINNENMAAS,28735,2014,7483823.97,1035480.49,36183826.01,3538606
BLADEL,19957,2014,5214046.92,729645.94,26803598.17,2998980.83
BLARICUM,9403,2014,2272293.11,373398.61,12694506.92,929873.7
BLOEMENDAAL,22508,2014,5343838.9,904144.7,30039876.13,4058429.88
BODEGRAVEN-REEUWIJK,33402,2014,7762650.4,1151628.3,42623073.04,3687379.68
BOEKEL,10157,2014,2272773.77,345461.65,11918199.97,2054546.05
BORGER-ODOORN,25740,2014,7222790.2,1125567.2,37059347.61,3535350.64
BORNE,22108,2014,6218818.32,767902.4,29365798.65,2279553.02
BORSELE,22531,2014,4899133.03,717463.71,25780275.62,2758167.96
BOXMEER,28282,2014,7282304.64,1064647.34,37823888.46,4740938.07
BOXTEL,30506,2014,7304085.05,1244611.94,40654907.22,5089239.2
BREDA,179964,2014,45323301.36,6648052.41,211573659,30520002.58
BRIELLE,16568,2014,4350686.55,596422.19,21525094.25,2033820.07
BRONCKHORST,37103,2014,10525349.75,1371263.46,50373295.36,4158644.58
BRUMMEN,21152,2014,5578068.07,841232.41,29511163.35,3661116.67
BRUNSSUM,28985,2014,9205839.17,1175350.13,42927560.12,6713985.71
BUNNIK,14795,2014,3557602.56,533031.17,18794702.6,2469674.22
BUNSCHOTEN,20835,2014,4479255.94,723525.93,24024825.57,2606601.9
BUREN,26080,2014,6446569.85,864818.88,34991135.22,3047816.04
CAPELLE AAN DEN IJSSEL,66742,2014,17363615.76,2521747.16,87595798.62,17027796.46
CASTRICUM,34668,2014,8532839.22,1335729.53,38740774.22,5991476.6
COEVORDEN,35545,2014,9828711.75,1562485.9,50644038.88,4634782.17
CRANENDONCK,20463,2014,5468397.28,731414.22,29374015.69,2453520.18
CROMSTRIJEN,12871,2014,3482437.6,464385.67,15028510.71,1481387.2
CUIJK,24837,2014,6450412.63,904034.49,32937289.52,3871667.83
CULEMBORG,27965,2014,6716393.76,955575.82,34138412.56,5064671.33
DALFSEN,27851,2014,6720883.19,908873.19,34159801.28,2898267.28
DANTUMADIEL,19227,2014,5184944.51,737254.96,22484098.05,2432241.28
DE BILT,42553,2014,10512067.02,1650658.09,57943584.6,8136129.18
DE FRYSKE MARREN,51542,2014,12513200.4,1672907.93,61604358.76,7091499.24
DE MARNE,10212,2014,3125570.36,471279.26,12963098.56,1803943.45
DE RONDE VENEN,42914,2014,9757177.18,1517428.59,52115360.21,5482027.38
DE WOLDEN,23893,2014,5765115.1,934415.77,31927438.43,2725362.9
DELFT,95708,2014,24336356.53,3067608.01,113750592.6,20171157.9
DELFZIJL,25338,2014,8751390.26,1121491.54,38694570.67,4932862.12
DEN HELDER,55223,2014,15931772.16,2182855.26,80997874.4,10525793.51
DEURNE,31928,2014,7649707.3,1131686.13,41463209.91,4287351.9
DEVENTER,98240,2014,25977960.59,3235162.46,129170994.9,24109308.53
